dev-foa,2019
Conv-Residual,19.9,66.9,0.54,60.3
Conv-StandardPOST,20.9,67.9,0.53,62.1
master,19.7,66.5,0.53,61.3
shortcut,19.9,66.7,0.51,62.3
dev-foa,2020
Conv-Residual,21.9,60.2,0.72,37.3
Conv-StandardPOST,24.6,61.8,0.74,35.3
master,23.2,61.3,0.71,38.6
shortcut,22.2,62.1,0.69,39.8
dev-mic,2019
Conv-Residual,18.5,67.2,0.51,63.9
Conv-StandardPOST,21.1,66.9,0.55,59.7
master,18.6,65.8,0.51,62.7
shortcut,19.4,65.8,0.53,61.2
dev-mic,2020
Conv-Residual,21.8,63.8,0.68,42.9
Conv-StandardPOST,24.2,59.6,0.73,36.7
master,22.1,62.5,0.68,41.9
shortcut,23.1,61.0,0.70,39.3
eval-foa,2019
Conv-Residual,18.9,68.5,0.51,62.9
Conv-StandardPOST,19.2,68.8,0.51,63.7
master,18.5,68.6,0.48,65.6
shortcut,18.1,68.1,0.50,63.7
eval-foa,2020
Conv-Residual,20.0,62.8,0.65,44.3
Conv-StandardPOST,20.4,63.6,0.66,43.7
master,20.2,65.4,0.65,44.8
shortcut,20.5,63.6,0.67,42.5
eval-mic,2019
Conv-Residual,18.0,68.9,0.49,65.3
Conv-StandardPOST,17.2,68.4,0.48,66.0
master,18.2,68.8,0.50,64.1
shortcut,17.8,68.1,0.49,65.3
eval-mic,2020
Conv-Residual,21.4,65.0,0.64,45.5
Conv-StandardPOST,20.0,65.8,0.63,47.0
master,20.7,63.8,0.65,44.8
shortcut,21.2,65.1,0.64,45.5
